ORG_ID,ACCT_PER_DATE,ACTVY_PER_DATE,AFE_NUM,CC_NUM,CC_TYPE_CODE,COST_CENTRE_NAME_QBYTE,BUSINESS_UNIT,DIVISION,AREA,FIELD,SUB_FIELD,VP_REPORTING,MAJOR_ACCT,MINOR_ACCT,MAJOR_MINOR,ACCOUNT_DESCRIPTION,GROSS_NET,LEVEL_1_HIERARCHY,LEVEL_2_HIERARCHY,LEVEL_3_HIERARCHY,LEVEL_4_HIERARCHY,LEVEL_5_HIERARCHY,FIELD_OPEX_CLASS_TYPE,LI_AMT,REPORTING_CURR_AMT,LI_VOL,PROD_CODE,LI_REM,GOVERN_AGR_ID,GOVERN_AGR_TYPE_CODE,VOUCHER_NUM,VOUCHER_TYPE_CODE,VOUCHER_REM,NAME_1,CLIENT_ID,INVC_NUM,INVC_DATE,CREATE_USER,CREATE_DATE,VOUCHER_STAT_CODE,GL_POST_USER,LAST_UPDATE_DATE
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,99055,ACR,RAILCAR SUBLEASE ACCURAL,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,258620.46,258620.46,0.00,,NOV 2022 - RAILCAR SUBLEASE ACCRUAL,1,OM,7563,ACCR,RV ACCR 7563,NULL,NULL,NULL,NULL,NTRATECH,2022-12-07 00:00:00.000,P,EDAVID,2022-12-12 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,84151,MRK,RAILCAR SUBLEASE,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,495519.40,495519.40,0.00,,NOV 2022 - RAILCAR ALLOCATION,1,OM,35376,GJE,NOV 2022 - RAILCAR ALLOCATION,NULL,NULL,NULL,NULL,NTRATECH,2022-12-07 00:00:00.000,P,KDUHEME,2022-12-07 00:00:00.000
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,84151,MRK,RAILCAR SUBLEASE,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-18240.37,-13560.00,0.00,,RMTS-24 RAIL CAR LEASE REVENUE,1,OM,12882,ARI,11-2022 RAIL CAR LEASE REVENUE,ROCKY MOUNTAIN TRANSPORTATION SERVICES,107923,RMTS24-107923-202211,2022-12-06,CSANREGR,2022-12-07 00:00:00.000,P,ARAJIC,2022-12-07 00:00:00.000
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,84151,MRK,RAILCAR SUBLEASE,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-22598.69,-16800.00,0.00,,GEN-7 RAIL CAR LEASE REVENUE,1,OM,12878,ARI,11-2022 RAIL CAR LEASE REVENUE,ORIGINAL TRADERS ENERGY L.P.,108370,GEN7-108370-202211,2022-12-06,CSANREGR,2022-12-07 00:00:00.000,P,ARAJIC,2022-12-07 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,84120,MRK,RAIL LOGISTICS,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-846579.56,-846579.56,0.00,,NOV 2022 - RAILCAR ALLOCATION,1,OM,35376,GJE,NOV 2022 - RAILCAR ALLOCATION,NULL,NULL,NULL,NULL,NTRATECH,2022-12-07 00:00:00.000,P,KDUHEME,2022-12-07 00:00:00.000
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,84151,MRK,RAILCAR SUBLEASE,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-9079.83,-6750.00,0.00,,RMTS-10 RAIL CAR LEASE REVENUE,1,OM,12879,ARI,11-2022 RAIL CAR LEASE REVENUE,ROCKY MOUNTAIN TRANSPORTATION SERVICES,107923,RMTS10-107923-202211,2022-12-06,CSANREGR,2022-12-07 00:00:00.000,P,ARAJIC,2022-12-07 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,98015,ACR,RAIL LOGISTICS ACCRUAL,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-490453.22,-490453.22,0.00,,NOV 2022 - OTHER RAILCAR ACCR,1,OM,7566,ACCR,NOV 2022 - OTHER RAILCAR ACCR,NULL,NULL,NULL,NULL,NTRATECH,2022-12-07 00:00:00.000,P,KDUHEME,2022-12-07 00:00:00.000
1,2022-10-31 00:00:00.000,2022-11-30 00:00:00.000,,98015,ACR,RAIL LOGISTICS ACCRUAL,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-941418.11,-941418.11,0.00,,2022-10 OPEX PREPAID RECLASS,1,OM,7375,ACCR,2022-10 OPEX PREPAID RECLASS,NULL,NULL,NULL,NULL,LVONG,2022-11-03 00:00:00.000,P,KDUHEME,2022-11-08 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,85028,REF,PGR-PRINCE GEORGE REFINERY,DOWNSTREAM,PGR,PGR,PRINCE GEORGE REFINERY,NULL,PRINCE GEORGE REFINERY,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,100072.32,100072.32,0.00,,NOV 2022 - RAILCAR ALLOCATION,1,OM,35376,GJE,NOV 2022 - RAILCAR ALLOCATION,NULL,NULL,NULL,NULL,NTRATECH,2022-12-07 00:00:00.000,P,KDUHEME,2022-12-07 00:00:00.000
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,84151,MRK,RAILCAR SUBLEASE,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-941.61,-700.00,0.00,,CNV-10 RAIL CAR LEASE REVENUE,1,OM,12876,ARI,11-2022 RAIL CAR LEASE REVENUE,CENOVUS ENERGY INC,100509,CNV10-100509-202211,2022-12-06,CSANREGR,2022-12-07 00:00:00.000,P,ARAJIC,2022-12-07 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,84120,MRK,RAIL LOGISTICS,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9910,231,9910.231,REPAIRS AND MAINTENANCE - RAIL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.1 - FIELD OPERATING EXPENSES,3.1.14 - REPAIRS AND MAINTENANCE,REPAIRS AND MAINTENANCE,FLDOPX-CON,25000.00,25000.00,0.00,,NOV 2022 - OTHER RAILCAR ACCR,1,OM,7566,ACCR,NOV 2022 - OTHER RAILCAR ACCR,NULL,NULL,NULL,NULL,NTRATECH,2022-12-07 00:00:00.000,P,KDUHEME,2022-12-07 00:00:00.000
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,84151,MRK,RAILCAR SUBLEASE,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-16141.92,-12000.00,0.00,,RMTS-20 RAIL CAR LEASE REVENUE,1,OM,12880,ARI,11-2022 RAIL CAR LEASE REVENUE,ROCKY MOUNTAIN TRANSPORTATION SERVICES,107923,RMTS20-107923-202211,2022-12-06,CSANREGR,2022-12-07 00:00:00.000,P,ARAJIC,2022-12-07 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,84160,MRK,CRUDE BY RAIL MARKETING,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,RAILCARS,NULL,RAILCARS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,120248.19,120248.19,0.00,,NOV 2022 - RAILCAR ALLOCATION,1,OM,35376,GJE,NOV 2022 - RAILCAR ALLOCATION,NULL,NULL,NULL,NULL,NTRATECH,2022-12-07 00:00:00.000,P,KDUHEME,2022-12-07 00:00:00.000
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,84151,MRK,RAILCAR SUBLEASE,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-34436.10,-25600.00,0.00,,RMTS-32 RAIL CAR LEASE REVENUE,1,OM,12884,ARI,11-2022 RAIL CAR LEASE REVENUE,ROCKY MOUNTAIN TRANSPORTATION SERVICES,107923,RMTS32-107923-202211,2022-12-06,CSANREGR,2022-12-07 00:00:00.000,P,ARAJIC,2022-12-07 00:00:00.000
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,84145,MRK,NGL RAIL CARS,MIDSTREAM,BRC FRAC,BRC,NGL MARKETING,NULL,NGL MARKETING,9910,231,9910.231,REPAIRS AND MAINTENANCE - RAIL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.1 - FIELD OPERATING EXPENSES,3.1.14 - REPAIRS AND MAINTENANCE,REPAIRS AND MAINTENANCE,FLDOPX-CON,-15000.00,-15000.00,0.00,,20221130 REPAIRS & MAINTENANCE,1,OM,7557,ACCR,RV ACCR 7557,NULL,NULL,NULL,NULL,CMAIRS,2022-12-07 00:00:00.000,P,SBEARSS,2022-12-14 00:00:00.000
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,84151,MRK,RAILCAR SUBLEASE,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-21186.27,-15750.00,0.00,,RMTS-23 RAIL CAR LEASE REVENUE,1,OM,12881,ARI,11-2022 RAIL CAR LEASE REVENUE,ROCKY MOUNTAIN TRANSPORTATION SERVICES,107923,RMTS23-107923-202211,2022-12-06,CSANREGR,2022-12-07 00:00:00.000,P,ARAJIC,2022-12-07 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,84129,MRK,PIPESTONE GAS PLANT - NGL MARKETING,MIDSTREAM,PIPESTONE,PIPESTONE,PIPESTONE NGL,NULL,PIPESTONE NGL,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,37000.00,37000.00,0.00,,PIPESTONE RAIL CAR RENTAL ACCRUAL,1,OM,7565,ACCR,NOV 22 PIPE PSEEP ACCR NGL,NULL,NULL,NULL,NULL,NGORING,2022-12-07 00:00:00.000,P,SBEARSS,2022-12-08 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,81329,FAC,BRC TOWER CONDY CONVERT,MIDSTREAM,BRC TOWER,BRC,BRC TOWER,NULL,BRC TOWER,9800,188,9800.188,DEMURRAGE,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.08 - TRANSPORTATION CHARGES,DEMURRAGE,MKTOTH,6000.00,6000.00,0.00,,,1,OM,32369,OBO,104065 CN 755699452,CN,104065,755699452,2022-11-20,OPNINV1,2022-11-29 00:00:00.000,P,BLUU,2022-11-29 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,84129,MRK,PIPESTONE GAS PLANT - NGL MARKETING,MIDSTREAM,PIPESTONE,PIPESTONE,PIPESTONE NGL,NULL,PIPESTONE NGL,9910,415,9910.415,RAIL RACK LOADING FEE,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.04 - LOADING FEE,LOADING FEE EXP,MKTOTH,165388.19,165388.19,0.00,,PIPESTONE LOADING FEE ACCRUAL,1,OM,7565,ACCR,NOV 22 PIPE PSEEP ACCR NGL,NULL,NULL,NULL,NULL,NGORING,2022-12-07 00:00:00.000,P,SBEARSS,2022-12-08 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,81115,FAC,BRC FRAC - DEPROP/DEBUT/DEETHANIZER,MIDSTREAM,BRC FRAC,BRC,BRC FRAC,NULL,BRC FRAC,9910,415,9910.415,RAIL RACK LOADING FEE,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.04 - LOADING FEE,LOADING FEE EXP,MKTOTH,33537.78,33537.78,0.00,,TOTAL LOADING FEE EXPENSE,1,OM,7647,ACCR,MARKETING ACCRUAL - NOV 2022,NULL,NULL,NULL,NULL,NGORING,2022-12-09 00:00:00.000,P,SBEARSS,2022-12-09 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,85090,REF,100% TWR RAILCARS,DOWNSTREAM,PGR,PGR,PRINCE GEORGE REFINERY,NULL,PRINCE GEORGE REFINERY,9800,188,9800.188,DEMURRAGE,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.08 - TRANSPORTATION CHARGES,DEMURRAGE,MKTOTH,400.00,400.00,0.00,,,1280,OM,32368,OBO,104065 CN 755699406,CN,104065,755699406,2022-11-20,OPNINV1,2022-11-29 00:00:00.000,P,BLUU,2022-11-29 00:00:00.000
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,84151,MRK,RAILCAR SUBLEASE,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-102097.64,-75900.00,0.00,,BP-138 RAIL CAR LEASE REVENUE,1,OM,12875,ARI,11-2022 RAIL CAR LEASE REVENUE,BP PRODUCTS NORTH AMERICA INC,107939,BP138-107939-202211,2022-12-06,CSANREGR,2022-12-07 00:00:00.000,P,ARAJIC,2022-12-07 00:00:00.000
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,84145,MRK,NGL RAIL CARS,MIDSTREAM,BRC FRAC,BRC,NGL MARKETING,NULL,NGL MARKETING,9800,188,9800.188,DEMURRAGE,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.08 - TRANSPORTATION CHARGES,DEMURRAGE,MKTOTH,27850.00,27850.00,0.00,,LPG DEMURRAGE CHARGES,1,OM,7644,ACCR,RV ACCR 7644,NULL,NULL,NULL,NULL,RITAS,2022-12-09 00:00:00.000,P,EDAVID,2022-12-12 00:00:00.000
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,84151,MRK,RAILCAR SUBLEASE,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-11299.34,-8400.00,0.00,,ELBOW-14 RAIL CAR LEASE REVENUE,1,OM,12877,ARI,11-2022 RAIL CAR LEASE REVENUE,ELBOW RIVER MARKETING LTD,100352,ELB14-100352-202211,2022-12-06,CSANREGR,2022-12-07 00:00:00.000,P,ARAJIC,2022-12-07 00:00:00.000
